ClaimID	ResearchQuestion	Claim	Status	Graphs	Implementations	Trials	Metric	SupportingFiles	Limitations	ThesisChapter
C-MEM-UM-B9792	RQ3	UM b9792 が100 GiB queueで完走しoversubscription経路証拠を満たす	SUPPORTED_WITH_LIMITATIONS	325557	GPU_Opt(UM)	1	oversubscription_route_evidence	result/correctness/memory_paths/canonical_job_2368587/execution_summary.tsv	migration byte直接計測ではない;n=1	8
C-MEM-UM-B10240-OOM	RQ3	UM b10240 は100 GiB queueでOOM(dynamic 213.38GB runner_exit137)	SUPPORTED_WITH_LIMITATIONS	325557	GPU_Opt(UM)	1	OOM_evidence	raw_data/unsuccessful/oom/memory_paths/325557_3216152/_job/job_2368269_20260712/MANIFEST.txt;failure/failed/oom/memory_correctness_2368269/correctness_summary.tsv	OOMを0秒扱いしない;境界は環境依存	8
C-MEM-CHUNK-B16384	RQ3	Chunked b16384 が num_subs=3 で完走	SUPPORTED_WITH_LIMITATIONS	325557	GPU_Opt_Pure_Chunked	1	feasibility	result/correctness/memory_paths/canonical_job_2368587/execution_summary.tsv	全条件でOOM回避とは書かない;n=1	8
C-CORR-SMALL	RQ4	小規模3グラフでSequential独立参照とGPU_Opt全ベクトル一致(mismatch0 missing0 NaN0)	SUPPORTED	benchmark_7000;benchmark_11023;chain_200	Sequential(参照);GPU_Opt	1	full_vector_independent_reference	result/correctness/small_full_vector/correctness_summary.tsv;result/correctness/small_full_vector/README.md	3グラフ限定;email/road/Pure/Chunked/UM固有経路は対象外	9
C-CORR-SAMEBATCH	RQ4	325557 same-batch UM/Pure/Chunked b1024 が混合許容内一致(非byte)	SUPPORTED_WITH_LIMITATIONS	325557	GPU_Opt;GPU_Opt_Pure;GPU_Opt_Pure_Chunked	1	full_vector_same_implementation	result/correctness/memory_paths/canonical_job_2368587/comparison_matrix.tsv	SHA256相異(byte一致でない);n=1;325557限定	9
C-CORR-HEADLINE	RQ4	headline4グラフは提案3実装間+独立参照PathMergeのMax BC一致	SUPPORTED_WITH_LIMITATIONS	email-EuAll;roadNet-PA;roadNet-TX;roadNet-CA	GPU_Opt;GPU_Opt_Pure;GPU_Opt_Pure_Chunked;PathMerge	NA	max_bc_only	result/main_performance/proposed_variants/;result/CLAIMS.md	独立参照full-vectorは未実施	9
C-CORR-STRESS	RQ4	stress(大batch/分割)でrel_tol1e-6を和集合8頂点で超過 原因未特定	NOT_YET_SUPPORTED	325557	GPU_Opt;GPU_Opt_Pure_Chunked	1	full_vector_same_implementation	result/correctness/memory_paths/canonical_job_2368587/comparison_matrix.tsv;result/correctness/memory_paths/analysis/six_vertex_detail.tsv;result/correctness/memory_paths/analysis/tolerance_sensitivity.tsv	FP原因と断定しない;許容感度でPASS化しない;formal CORE_FAIL	9
C-CORR-PATHMERGE	RQ4	PathMerge b4096と提案各実装で約11027要素max_rel0.2%差 正誤未決定	NOT_YET_SUPPORTED	325557	PathMerge;GPU_Opt;GPU_Opt_Pure;GPU_Opt_Pure_Chunked	1	max_bc_only	result/correctness/memory_paths/canonical_job_2368587/comparison_matrix.tsv;result/correctness/memory_paths/README.md	PathMergeはexternal comparator(ground truthでない);提案の誤りと断定しない	9
C-CORR-RUNREP	RQ4	同一構成の実行間差は混合許容内(Pure/PathMerge run-to-run mismatch0)	SUPPORTED_WITH_LIMITATIONS	325557	GPU_Opt_Pure;PathMerge	2-3	run_to_run	result/correctness/memory_paths/analysis/run_to_run_comparison.tsv	非byte一致;stress差は通常変動で説明困難	9
C-7IMPL-SMALL	Aux	small7実装比較(Seq/OMP/cuGraph/提案/PathMerge)は概ね充足	SUPPORTED_WITH_LIMITATIONS	benchmark_7000;benchmark_11023;random;56438	Sequential;OpenMP;cuGraph_BC;GPU_Opt_Pure;PathMerge	10	mean_sd	result/main_performance/seven_implementations/legacy_partial/small/statistical_test_no_gpu_opt.md	提案系は旧shared;Seqは56438欠;cuGraph整合未確認	6
C-7IMPL-MEDLARGE	Aux	現行blockでのmedium/large完全7実装統一表	NOT_YET_SUPPORTED	medium;large	Sequential;OpenMP;cuGraph_BC;proposed;PathMerge	NA	NA	result/main_performance/seven_implementations/README.md	Seq/OMP/cuGraph欠+提案系旧shared;GPU再測定が必要	6
