SourceID	TodoFile	TodoLine	Topic	Claim	CitationKey	SourceType	PrimaryURL	DOI	MetadataVerifiedBy	ClaimVerified	Status	Notes	ImplementationProvenance	LicenseStatus	SoftwareVersion	VersionMatched
S11	docs/thesis/12_related_work_gap.md	172	Unified Memory	UM(CUDA 6.x世代)の利便性とアプリケーション依存性能の既存評価	li2015um	paper	https://doi.org/10.1109/CCGrid.2015.105	10.1109/CCGrid.2015.105	Crossref API(pp.1092-1098) + DOI解決先IEEE Xplore document 7152596(タイトル一致; 本文はJS制限で未読)	YES	RESOLVED	[R9]。Stage L0訂正: oversubscription(Pascal以降の機能)の帰属を除去し主張をタイトル・メタデータで支持可能な範囲へ縮小。前段のDOI訂正(.39→.105)が正しいことを再確認	n/a	n/a	n/a	n/a
S12	docs/thesis/12_related_work_gap.md	179	UM prefetch/oversubscription	prefetching・oversubscription下のUM性能の既存評価(Pascal/Volta)	knap2019um	paper	https://doi.org/10.1007/s11227-019-02966-8	10.1007/s11227-019-02966-8	Crossref API(75(11):7625-7645) + Springer公式ページ(要旨でprefetch/oversubscription評価を確認)	YES	RESOLVED	[R10]	n/a	n/a	n/a	n/a
S13	docs/thesis/12_related_work_gap.md	186	out-of-coreグラフ処理	GPUメモリを超えるグラフのout-of-core処理・データ転送最小化(Subway)	nodehisabet2020subway	paper	https://doi.org/10.1145/3342195.3387537	10.1145/3342195.3387537	Crossref API(pp.1-16) + 著者研究室公式実装(github.com/AutomataLab/Subway)	YES	RESOLVED	[R11]。前段のDOI訂正(…3387556→…3387537)が正しいことを再確認	n/a	n/a	n/a	n/a
S14	docs/thesis/12_related_work_gap.md	193	out-of-coreグラフ処理	out-of-core GPUメモリ管理による大規模グラフ処理の既存例	shirahata2014outofcore	paper	https://doi.org/10.1109/CLUSTER.2014.6968748	10.1109/CLUSTER.2014.6968748	Crossref API(pp.221-229) + DOI解決先IEEE Xplore document 6968748(タイトル一致; 本文はJS制限で未読・著者ページ到達不可) + L0.1: Semantic Scholar Graph API(DOI)でメタデータ独立再確認(題目/著者/会議/年/DOI一致; abstract=null)	PARTIAL	RESOLVED	[R12]。主張はタイトル・公式メタデータの範囲に限定する旨を[R12]に明記。L0.1: メタデータはCrossref+Semantic Scholarの2系統で独立確認したが公式本文/アブストラクトは一次資料で未取得(IEEE XploreはJS制限で空・S2 abstract=null)。web検索が返した要旨はタイトルと整合するが一次確認できないため不採用。本文依存の技術的主張は行わず「既存例」としての言及に限定→ClaimVerifiedをYESからPARTIALへ是正	n/a	n/a	n/a	n/a
S15	docs/thesis/00_thesis_positioning.md	22	GH200アーキテクチャ	Grace CPUとHopper GPUをNVLink-C2C(900GB/s coherent)で結合・CPU+GPU coherent memory model	nvidiaGh200Product	official_doc	https://www.nvidia.com/en-us/data-center/grace-hopper-superchip/		NVIDIA公式製品ページを直接確認(参照日2026-07-15をreferences.bibに記録)	YES	RESOLVED	[R13]。実測帯域値はrepo内bandwidth.logを用い公称値と混在させない(既存方針)	n/a	n/a	n/a	n/a
S16	docs/thesis/00_thesis_positioning.md	23	GH200 UM oversubscription	HBM3(最大96GB)・LPDDR5X・ATS単一per-processページテーブル・GPUメモリをoversubscribeしてGrace CPUメモリを直接利用可能	nvidiaGraceHopperInDepth	official_doc	https://developer.nvidia.com/blog/nvidia-grace-hopper-superchip-architecture-in-depth/		NVIDIA Technical Blog(2022-11-10, Evans/Andersch/Sethi/Brito/Mehta)を直接確認	YES	RESOLVED	[R14]。00の「UMでHBM3超のworking setを扱える」動機と04§4.7/08の設計前提を公式に支持	n/a	n/a	n/a	n/a
S17	docs/thesis/04_method_design.md	80	CUDA UM API	cudaMallocManaged/メモリoversubscription/data prefetching/memory adviseの公式仕様	nvidiaCudaProgrammingGuide	official_doc	https://docs.nvidia.com/cuda/archive/13.0.0/cuda-c-programming-guide/		v13.0アーカイブの存在と節構成を確認 + v13.3現行版で機能記述(oversubscription/prefetch/advise)を確認(参照日2026-07-15)	YES	RESOLVED	[R15]。実験環境のCUDA 13.0(05§5.2)と同版	n/a	n/a	n/a	n/a
S18	docs/thesis/04_method_design.md	59	CUDA streams	stream・cudaMemsetAsync・データ転送とカーネル実行の重畳(Asynchronous Concurrent Execution)	nvidiaCudaProgrammingGuide	official_doc	https://docs.nvidia.com/cuda/archive/13.0.0/cuda-c-programming-guide/		同上(Asynchronous Concurrent Execution節を確認)	YES	RESOLVED	[R15]。04§4.5の2ストリーム設計の公式仕様根拠	n/a	n/a	n/a	n/a
S19	docs/thesis/04_method_design.md	51	warp-level primitives	warp shuffle(__shfl_down_sync系)とatomic関数(atomicAdd/atomicCAS)の公式仕様	nvidiaCudaProgrammingGuide	official_doc	https://docs.nvidia.com/cuda/archive/13.0.0/cuda-c-programming-guide/		同上(Warp Shuffle Functions/Atomic Functions節を確認)	YES	RESOLVED	[R15]。04§4.3-4.4のσ累積atomic/warp協調還元の公式仕様根拠	n/a	n/a	n/a	n/a
S20	docs/thesis/04_method_design.md	83	CUDA Runtime API	cudaMemAdvise(SetReadMostly/SetAccessedBy)・cudaMemPrefetchAsync等の関数仕様	nvidiaCudaRuntimeApi	official_doc	https://docs.nvidia.com/cuda/archive/13.0.0/cuda-runtime-api/		v13.0.0の存在とMemory Management/Stream Management節を確認(参照日2026-07-15)	YES	RESOLVED	[R16]。04§4.7のSetReadMostly/AccessedBy配置戦略の関数仕様根拠	n/a	n/a	n/a	n/a
S21	docs/thesis/04_method_design.md	127	OpenMP	CPU baseline(omp.cpp)のparallel/for/atomic/reduction/omp_get_wtimeはOpenMP公式仕様の中核構文	openmp52	official_spec	https://www.openmp.org/wp-content/uploads/OpenMP-API-Specification-5-2.pdf		openmp.org公式仕様ページで版一覧(5.2=2021-11)とPDFリンクを確認(参照日2026-07-15)	YES	RESOLVED	[R17]。使用構文はsrc/baseline/omp.cppのgrepで確認(2.x系以降の中核構文のため版選択に非依存)	n/a	n/a	n/a	n/a
S22	docs/thesis/05_experimental_setup.md	55	SNAPデータセット	email-EuAll/roadNet-PA/TX/CAはSNAP由来。email-EuAllは原本directed(無向化前処理の前提)・roadNetは原本undirected	snapnets	official_dataset	http://snap.stanford.edu/data		SNAP公式index + email-EuAll.html(directed確認) + roadNet-CA.html(undirected確認)を直接確認(参照日2026-07-15)	YES	RESOLVED	[R18]。SNAP公式が要請する引用形式(snapnets)に準拠。公式ページのノード数(email-EuAll 265214)と本研究CSR(265009)の差は前処理由来でgraph_catalog.tsvにSHA256とともに記録済	n/a	n/a	n/a	n/a
S23	docs/thesis/05_experimental_setup.md	55	データセット原著	email-EuAllの原著論文(Graph Evolution, ACM TKDD 1(1) Article 2, 2007)	leskovec2007graphevolution	paper	https://doi.org/10.1145/1217299.1217301	10.1145/1217299.1217301	Crossref API + SNAP公式ページ(email-EuAll.html)の出典表示	YES	RESOLVED	[R19]	n/a	n/a	n/a	n/a
S24	docs/thesis/05_experimental_setup.md	56	データセット原著	roadNet-PA/TX/CAの原著論文(Community Structure in Large Networks, Internet Mathematics 6(1):29-123, 2009)	leskovec2009community	paper	https://doi.org/10.1080/15427951.2009.10129177	10.1080/15427951.2009.10129177	Crossref API + SNAP公式ページ(roadNet-CA.html)の出典表示	YES	RESOLVED	[R20]	n/a	n/a	n/a	n/a
S25	docs/thesis/06_results_performance.md	70	cuGraph内部計算量	cuGraph内部のper-level sort_by_key+reduce_by_keyがO(M log M)という説明		n/a			一次資料調査で確認できず(公式docs・公式ヘッダ・査読論文のいずれにも漸近量の記述を特定できない)	NO	RESOLVED	出典不在のため主張自体を本文から削除し実測の優劣記述のみ残す(Stage L0; 12_related_work_gap.md §12.3の方針と統一)。未確認引用での代替はしない	n/a	n/a	n/a	n/a
