ExternalPath	Type	SizeBytes	SHA256	Reason	RetentionStatus	Note
bc_ca_confirm.o2362006	pbs_stdout_log	1463	b0b78844453a0d7a30d85a1493acba0dc07a8e56100a0d649dddff3615f430c4	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_ca_correct.o2362965	pbs_stdout_log	2041	09aa7d33e6e5e38c039ee37f7cc25db546c929bdb78e6bc7165ec60cef9ec46a	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_ca_screen.o2360073	pbs_stdout_log	1227	f871bde69e704c41867759d7caf692660c005c6f8008ddd904b7cceffef60eb6	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_kernel_sel.o2354329	pbs_stdout_log	6463	7150702abada0c176a8d437f2da89dd140fcdbce491acca578642f0aa372c3e0	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_kernel_sel.o2354330	pbs_stdout_log	10020	a7f5b42c4d0b2d4649bd05531e44299a1724e0234cca0ea47db2fc70b1b9db65	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_phaseB_verify.o2355971	pbs_stdout_log	6597	e28c473826e11bb9ac778503d300684fb32704955c7dd841a523fa45de95b55c	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_pm_correct.o2360074	pbs_stdout_log	2017	3dbbf61773f94ba4f77544880cd058e813ed507a9c4256bae745280a64dce9d5	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_pm_sweep.o2355000	pbs_stdout_log	1435	1cb0314e2cc000996a7367964daa3746825c6634a9cee9fc98f7e948b0437909	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_pm_sweep.o2355001	pbs_stdout_log	1545	3e6b3d1670c1eea24940f1499cac684ef609e157b86325643f72864b4b74600c	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_pm_sweep.o2359080	pbs_stdout_log	715	4795544e9ed96f8b5159b331bff5f7323f31ddedcee68753ee0366c6b88feee7	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_pm_sweep.o2359081	pbs_stdout_log	1269	940bd7473845fd82685163fe447e7fa952858b352a4dece50b2bbacc88ea8c05	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_pm_sweep.o2359096	pbs_stdout_log	745	f4b34fade3acbab7ef042330d320df4515906ed66c894ccca94f331cfacdfb83	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_pm_sweep.o2359169	pbs_stdout_log	1739	25617f02e121aaf09d2ecfdc3585ef81bb5565d1f445b718076fc4ce393c85fe	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_profiling.o2359175	pbs_stdout_log	3531	ac08fdb671816c8f4910620291e5563bced86f28348ac44d8289b2a8442f5fc1	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_targeted.o2356120	pbs_stdout_log	1955	f579c9ed9a1707fd6760529838c556049bf5b0124f070ddcfcab9061ffd7cc82	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_targeted.o2357334	pbs_stdout_log	5301	31bdc3a67486382edfc1555c2241decdaa19d355dfaccc5db279955de77b1b0b	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_targeted.o2357335	pbs_stdout_log	3680	9f3828311a1eda75a637b0accea1f855041fa51e875bdc254d8f0ead53ebd372	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_targeted.o2357336	pbs_stdout_log	3680	ce97d68a712b9c5733fc0027374569f52441b94a1301098247b1189b783d668f	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_targeted.o2357337	pbs_stdout_log	3698	dbb6fa171f3772e725bf7ca118cefb6b884d3323789ca397448e42108b8d1fcc	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_tx_confirm.o2361040	pbs_stdout_log	1463	c0525c695d7e9c4ff4f5094391f11dd72875f380d1496bc3f81e7846e9c37e3e	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_tx_screen.o2360072	pbs_stdout_log	1227	f3939bd4849759323d510634264166d1c11ad643496511d3d4653bd4de8f9885	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
result_0709/bc_ablation.o2349659	pbs_stdout_log	16481	c27c6e957a0c020f95e6c7ea20e3556787f8672a8712dd83c4d87b58737f8239	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
result_0709/bc_ablation.o2349660	pbs_stdout_log	4183	1729b7a0fa0cf3db7753ccffb025c023f663ccb1e3dac055e09a8f6cdfcda0e0	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
result_0709/bc_kernel_sel.o2349661	pbs_stdout_log	18461	e585cd5efec1314b62a9d58e7ffc6c7e5d23f616d7b8cdb6ccb958f58cd49c66	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
result_0709/bc_pm_sweep.o2350440	pbs_stdout_log	1781	23261c6d58690cbae05126ffca92739542b80ecc8644be7dc6e687800a80c9bb	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
result_0709/bc_pm_sweep.o2350446	pbs_stdout_log	1609	332f966b69bbc7cab8233c69c5c3eb90944c5c5cf9c0df7394881a0a4ef8eeb6	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
build_miyabi/result_*/	directory	-	n/a	gitignored ビルド成果物。curated raw の内容は raw_data/ (Git) へ移行済（→ RAW_DATA_MIGRATION.tsv, MANIFEST.tsv OriginalPath）	external_build_origin	not unique external data; origin only
