Artifact	Exists	Type	SizeBytes	SHA256	UsedInThesis	RequiredForRegeneration	RegeneratableFrom	Decision	Reason	TargetRawPath
build_miyabi/phaseB_verify_out/shared_email-EuAll.err	yes	bc_vector_or_err	555	ef0677c6c094e24d8036012aac84c4159f0cabcad591f9f0a0ea13240ff66633	yes	yes		MIGRATE_TO_RAW_DATA	kernel 選択検証の BC ベクトル/err（<100MB, 論文の kernel selection 検証に必要）→ raw_data へ移行	raw_data/tuning/kernel_selection/email-EuAll/shared/gpu_opt/job_2355971_20260710/shared_email-EuAll.err
bc_ablation.o2354994	yes	pbs_stdout_log	15432	d01e287fc7af6e117de37e9deea5e420d9938f7cc43029256c1faba50283e104	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/ablation/synthetic/job_2354994_20260710/pbs_stdout.log
bc_ablation.o2354999	yes	pbs_stdout_log	3907	ff223c9737f21315098806bcc33fa251842dbbf5203eb3e8c8758d7fe5866d2f	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/ablation/email-EuAll/job_2354999_20260710/pbs_stdout.log
bc_build_smoke.o2360062	yes	pbs_stdout_log	2652	34f00d6fc7fffbb89757fefc73631ae99b06ce5d0554609a442a29905783c062	no	no		EXCLUDE_NOT_USED	T0.3 clean build + block smoke test（実験データなし; 再ビルドで再現可, 論文非引用）	not_applicable
bc_ca_b16.o2361041	yes	pbs_stdout_log	733	0e13159042dab2365ea7a8f868a242b3c84513559132386c2ff1a02aacd35195	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/tuning/pathmerge/roadNet-CA/pathmerge_bc/job_2361041_20260711/pbs_stdout.log
bc_ca_confirm.o2362006	yes	pbs_stdout_log	1463	b0b78844453a0d7a30d85a1493acba0dc07a8e56100a0d649dddff3615f430c4	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/tuning/pathmerge/roadNet-CA/pathmerge_bc/job_2362006_20260711/pbs_stdout.log
bc_ca_correct.o2362965	yes	pbs_stdout_log	2041	09aa7d33e6e5e38c039ee37f7cc25db546c929bdb78e6bc7165ec60cef9ec46a	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/tuning/pathmerge/roadNet-CA/pathmerge_bc/job_2362965_20260711/pbs_stdout.log
bc_ca_screen.o2360073	yes	pbs_stdout_log	1227	f871bde69e704c41867759d7caf692660c005c6f8008ddd904b7cceffef60eb6	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/tuning/pathmerge/roadNet-CA/pathmerge_bc/job_2360073_20260711/pbs_stdout.log
bc_kernel_sel.o2354329	yes	pbs_stdout_log	6463	7150702abada0c176a8d437f2da89dd140fcdbce491acca578642f0aa372c3e0	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/tuning/kernel_selection/roadNet-PA/gpu_opt_forced/job_2354329_20260710/pbs_stdout.log
bc_kernel_sel.o2354330	yes	pbs_stdout_log	10020	a7f5b42c4d0b2d4649bd05531e44299a1724e0234cca0ea47db2fc70b1b9db65	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/tuning/kernel_selection/roadNet-TX/gpu_opt_forced/job_2354330_20260710/pbs_stdout.log
bc_phaseB_verify.o2355971	yes	pbs_stdout_log	6597	e28c473826e11bb9ac778503d300684fb32704955c7dd841a523fa45de95b55c	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/tuning/kernel_selection/_phaseB_verify/job_2355971_20260710/pbs_stdout.log
bc_pm_correct.o2360074	yes	pbs_stdout_log	2017	3dbbf61773f94ba4f77544880cd058e813ed507a9c4256bae745280a64dce9d5	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/tuning/pathmerge/email-EuAll/pathmerge_bc/job_2360074_20260711/pbs_stdout.log
bc_pm_sweep.o2355000	yes	pbs_stdout_log	1435	1cb0314e2cc000996a7367964daa3746825c6634a9cee9fc98f7e948b0437909	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/tuning/pathmerge/325557/pathmerge_bc/job_2355000_20260710/pbs_stdout.log
bc_pm_sweep.o2355001	yes	pbs_stdout_log	1545	3e6b3d1670c1eea24940f1499cac684ef609e157b86325643f72864b4b74600c	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/tuning/pathmerge/roadNet-PA/pathmerge_bc/job_2355001_20260710/pbs_stdout.log
bc_pm_sweep.o2359080	yes	pbs_stdout_log	715	4795544e9ed96f8b5159b331bff5f7323f31ddedcee68753ee0366c6b88feee7	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/unsuccessful/early_terminated/pathmerge_sweep/roadNet-PA/job_2359080_20260711/pbs_stdout.log
bc_pm_sweep.o2359081	yes	pbs_stdout_log	1269	940bd7473845fd82685163fe447e7fa952858b352a4dece50b2bbacc88ea8c05	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/tuning/pathmerge/325557/pathmerge_bc/job_2359081_20260711/pbs_stdout.log
bc_pm_sweep.o2359096	yes	pbs_stdout_log	745	f4b34fade3acbab7ef042330d320df4515906ed66c894ccca94f331cfacdfb83	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/unsuccessful/early_terminated/pathmerge_sweep/email-EuAll/job_2359096_20260711/pbs_stdout.log
bc_pm_sweep.o2359169	yes	pbs_stdout_log	1739	25617f02e121aaf09d2ecfdc3585ef81bb5565d1f445b718076fc4ce393c85fe	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/tuning/pathmerge/email-EuAll/pathmerge_bc/job_2359169_20260711/pbs_stdout.log
bc_profiling.o2359175	yes	pbs_stdout_log	3531	ac08fdb671816c8f4910620291e5563bced86f28348ac44d8289b2a8442f5fc1	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/profiling/job_2359175_20260711/pbs_stdout.log
bc_targeted.o2356120	yes	pbs_stdout_log	1955	f579c9ed9a1707fd6760529838c556049bf5b0124f070ddcfcab9061ffd7cc82	no	no		EXCLUDE_NOT_USED	email-EuAll gpu_opt 3試行の先行run（保持 email 性能は job 2357334 の5試行; 本runは非保持=supersededで論文非引用）	not_applicable
bc_targeted.o2357334	yes	pbs_stdout_log	5301	31bdc3a67486382edfc1555c2241decdaa19d355dfaccc5db279955de77b1b0b	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/main_performance/proposed_variants/email-EuAll/_run/job_2357334_20260711/pbs_stdout.log
bc_targeted.o2357335	yes	pbs_stdout_log	3680	9f3828311a1eda75a637b0accea1f855041fa51e875bdc254d8f0ead53ebd372	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/main_performance/proposed_variants/roadNet-PA/_run/job_2357334_20260711/pbs_stdout.log
bc_targeted.o2357336	yes	pbs_stdout_log	3680	ce97d68a712b9c5733fc0027374569f52441b94a1301098247b1189b783d668f	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/main_performance/proposed_variants/roadNet-TX/_run/job_2357334_20260711/pbs_stdout.log
bc_targeted.o2357337	yes	pbs_stdout_log	3698	dbb6fa171f3772e725bf7ca118cefb6b884d3323789ca397448e42108b8d1fcc	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/main_performance/proposed_variants/roadNet-CA/_run/job_2357334_20260711/pbs_stdout.log
bc_tx_confirm.o2361040	yes	pbs_stdout_log	1463	c0525c695d7e9c4ff4f5094391f11dd72875f380d1496bc3f81e7846e9c37e3e	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/tuning/pathmerge/roadNet-TX/pathmerge_bc/job_2361040_20260711/pbs_stdout.log
bc_tx_screen.o2360072	yes	pbs_stdout_log	1227	f3939bd4849759323d510634264166d1c11ad643496511d3d4653bd4de8f9885	provenance	no		MIGRATE_TO_RAW_DATA	保持実験の起源 PBS ログ → 対応 raw 実験dir へ pbs_stdout.log として移行	raw_data/tuning/pathmerge/roadNet-TX/pathmerge_bc/job_2360072_20260711/pbs_stdout.log
result_0709/bc_ablation.o2349659	yes	pbs_stdout_log	16481	c27c6e957a0c020f95e6c7ea20e3556787f8672a8712dd83c4d87b58737f8239	no	no		EXCLUDE_NOT_USED	2026-07-09 旧run ablation(4graph)（保持 ablation は 07-10 synthetic/email; データ非保持=superseded, 論文非引用）	not_applicable
result_0709/bc_ablation.o2349660	yes	pbs_stdout_log	4183	1729b7a0fa0cf3db7753ccffb025c023f663ccb1e3dac055e09a8f6cdfcda0e0	no	no		EXCLUDE_NOT_USED	2026-07-09 旧run ablation(email)（07-10 job 2354999 に置換; データ非保持=superseded, 論文非引用）	not_applicable
result_0709/bc_kernel_sel.o2349661	yes	pbs_stdout_log	18461	e585cd5efec1314b62a9d58e7ffc6c7e5d23f616d7b8cdb6ccb958f58cd49c66	no	no		EXCLUDE_NOT_USED	2026-07-09 旧run kernel selection（保持は 07-10 roadNet-PA/TX; データ非保持=superseded, 論文非引用）	not_applicable
result_0709/bc_pm_sweep.o2350440	yes	pbs_stdout_log	1781	23261c6d58690cbae05126ffca92739542b80ecc8644be7dc6e687800a80c9bb	no	no		EXCLUDE_NOT_USED	2026-07-09 旧run PathMerge sweep roadNet-PA（07-10 以降の sweep に置換; データ非保持=superseded, 論文非引用）	not_applicable
result_0709/bc_pm_sweep.o2350446	yes	pbs_stdout_log	1609	332f966b69bbc7cab8233c69c5c3eb90944c5c5cf9c0df7394881a0a4ef8eeb6	no	no		EXCLUDE_NOT_USED	2026-07-09 旧run PathMerge sweep 325557（07-10 以降の sweep に置換; データ非保持=superseded, 論文非引用）	not_applicable
build_miyabi/result_*/	directory_glob	directory	-	n/a	no	no		DUPLICATE_DIRECTORY_RECORD	gitignored ビルド成果物ディレクトリの補助記録（一意な external データではなく origin のみ）	not_applicable
